name,FP,TP,FN,Total
astar_base.x32_O0_icc.newgt,54,171,54,225
astar_base.x32_O1_icc.newgt,58,111,96,207
astar_base.x32_O2_icc.newgt,98,100,46,146
astar_base.x32_O3_icc.newgt,98,100,46,146
astar_base.x64_O0_icc.newgt,54,169,42,211
astar_base.x64_O1_icc.newgt,62,100,48,148
astar_base.x64_O2_icc.newgt,455,98,55,153
astar_base.x64_O3_icc.newgt,455,98,55,153
blender_r_base.icc_x64_O0-m64.newgt,269,50568,207,50775
blender_r_base.icc_x64_O1-m64.newgt,333,39213,1952,41165
blender_r_base.icc_x64_O2-m64.newgt,1119,36517,1224,37741
blender_r_base.icc_x64_O3-m64.newgt,1118,36519,1225,37744
blender_r_base.icc_x86_O0-m32.newgt,222,50577,254,50831
blender_r_base.icc_x86_O1-m32.newgt,278,39616,5453,45069
blender_r_base.icc_x86_O2-m32.newgt,1307,36724,1426,38150
blender_r_base.icc_x86_O3-m32.newgt,1285,36727,1426,38153
bwaves_base.x32_O0_icc.newgt,424,79,395,474
bwaves_base.x32_O1_icc.newgt,407,78,379,457
bwaves_base.x32_O2_icc.newgt,424,78,396,474
bwaves_base.x32_O3_icc.newgt,424,78,396,474
bwaves_base.x64_O0_icc.newgt,1018,51,378,429
bwaves_base.x64_O1_icc.newgt,1018,51,378,429
bwaves_base.x64_O2_icc.newgt,1034,51,394,445
bwaves_base.x64_O3_icc.newgt,1034,51,394,445
bwaves_r_base.icc_x64_O0-m64.newgt,1008,43,379,422
bwaves_r_base.icc_x64_O1-m64.newgt,1008,43,379,422
bwaves_r_base.icc_x64_O2-m64.newgt,1011,43,382,425
bwaves_r_base.icc_x64_O3-m64.newgt,1011,43,382,425
bwaves_r_base.icc_x86_O0-m32.newgt,411,73,395,468
bwaves_r_base.icc_x86_O1-m32.newgt,394,72,379,451
bwaves_r_base.icc_x86_O2-m32.newgt,428,72,382,454
bwaves_r_base.icc_x86_O3-m32.newgt,431,72,382,454
bzip2_base.x32_O0_icc.newgt,1,108,1,109
bzip2_base.x32_O1_icc.newgt,9,91,35,126
bzip2_base.x32_O2_icc.newgt,99,76,39,115
bzip2_base.x32_O3_icc.newgt,99,76,39,115
bzip2_base.x64_O0_icc.newgt,0,106,1,107
bzip2_base.x64_O1_icc.newgt,11,85,18,103
bzip2_base.x64_O2_icc.newgt,432,71,39,110
bzip2_base.x64_O3_icc.newgt,432,71,39,110
cactusADM_base.x32_O0_icc.newgt,528,1455,505,1960
cactusADM_base.x32_O1_icc.newgt,535,1374,773,2147
cactusADM_base.x32_O2_icc.newgt,483,1335,472,1807
cactusADM_base.x32_O3_icc.newgt,483,1335,472,1807
cactusADM_base.x64_O0_icc.newgt,1163,1427,472,1899
cactusADM_base.x64_O1_icc.newgt,1166,1341,485,1826
cactusADM_base.x64_O2_icc.newgt,1265,1296,531,1827
cactusADM_base.x64_O3_icc.newgt,1265,1296,531,1827
cactusBSSN_r_base.icc_x64_O0-m64.newgt,360,3464,297,3761
cactusBSSN_r_base.icc_x64_O1-m64.newgt,409,2798,381,3179
cactusBSSN_r_base.icc_x64_O2-m64.newgt,1187,2679,451,3130
cactusBSSN_r_base.icc_x64_O3-m64.newgt,1187,2680,450,3130
cactusBSSN_r_base.icc_x86_O0-m32.newgt,368,3471,360,3831
cactusBSSN_r_base.icc_x86_O1-m32.newgt,454,2828,824,3652
cactusBSSN_r_base.icc_x86_O2-m32.newgt,501,2700,442,3142
cactusBSSN_r_base.icc_x86_O3-m32.newgt,500,2700,442,3142
calculix_base.x32_O0_icc.newgt,589,1456,555,2011
calculix_base.x32_O1_icc.newgt,507,1218,961,2179
calculix_base.x32_O2_icc.newgt,521,1341,553,1894
calculix_base.x32_O3_icc.newgt,521,1338,556,1894
calculix_base.x64_O0_icc.newgt,1203,1428,521,1949
calculix_base.x64_O1_icc.newgt,1186,1137,741,1878
calculix_base.x64_O2_icc.newgt,1208,1293,586,1879
calculix_base.x64_O3_icc.newgt,1210,1292,587,1879
cam4_r_base.icc_x64_O0-m64.newgt,1351,4910,661,5571
cam4_r_base.icc_x64_O1-m64.newgt,1361,4670,728,5398
cam4_r_base.icc_x64_O2-m64.newgt,1490,4646,780,5426
cam4_r_base.icc_x64_O3-m64.newgt,1488,4646,779,5425
cam4_r_base.icc_x86_O0-m32.newgt,729,4946,704,5650
cam4_r_base.icc_x86_O1-m32.newgt,682,4710,1858,6568
cam4_r_base.icc_x86_O2-m32.newgt,1071,4710,1113,5823
cam4_r_base.icc_x86_O3-m32.newgt,1069,4710,1111,5821
cam4_validate_527_base.icc_x64_O0-m64.newgt,1002,1054,374,1428
cam4_validate_527_base.icc_x64_O1-m64.newgt,1003,857,417,1274
cam4_validate_527_base.icc_x64_O2-m64.newgt,1012,770,429,1199
cam4_validate_527_base.icc_x64_O3-m64.newgt,1012,770,429,1199
cam4_validate_527_base.icc_x86_O0-m32.newgt,410,1084,393,1477
cam4_validate_527_base.icc_x86_O1-m32.newgt,411,887,577,1464
cam4_validate_527_base.icc_x86_O2-m32.newgt,587,810,477,1287
cam4_validate_527_base.icc_x86_O3-m32.newgt,586,810,477,1287
cpugcc_r_base.icc_x64_O0-m64.newgt,86,26783,53,26836
cpugcc_r_base.icc_x64_O1-m64.newgt,167,14727,201,14928
cpugcc_r_base.icc_x64_O2-m64.newgt,800,11950,629,12579
cpugcc_r_base.icc_x64_O3-m64.newgt,800,11950,629,12579
cpugcc_r_base.icc_x86_O0-m32.newgt,25,26813,29,26842
cpugcc_r_base.icc_x86_O1-m32.newgt,70,15190,2555,17745
cpugcc_r_base.icc_x86_O2-m32.newgt,2402,12043,1413,13456
cpugcc_r_base.icc_x86_O3-m32.newgt,2398,12043,1413,13456
cpuxalan_r_base.icc_x64_O0-m64.newgt,314,31636,837,32473
cpuxalan_r_base.icc_x64_O1-m64.newgt,3662,13802,3472,17274
cpuxalan_r_base.icc_x64_O2-m64.newgt,6031,14082,1980,16062
cpuxalan_r_base.icc_x64_O3-m64.newgt,6029,14093,1969,16062
cpuxalan_r_base.icc_x86_O0-m32.newgt,294,31694,841,32535
cpuxalan_r_base.icc_x86_O1-m32.newgt,3819,15079,6543,21622
cpuxalan_r_base.icc_x86_O2-m32.newgt,5662,14559,2305,16864
cpuxalan_r_base.icc_x86_O3-m32.newgt,5604,14562,2302,16864
dealII_base.x32_O0_icc.newgt,340,21131,226,21357
dealII_base.x32_O1_icc.newgt,1700,9576,944,10520
dealII_base.x32_O2_icc.newgt,1397,8620,469,9089
dealII_base.x32_O3_icc.newgt,1359,8622,467,9089
dealII_base.x64_O0_icc.newgt,376,21142,228,21370
dealII_base.x64_O1_icc.newgt,1849,9162,975,10137
dealII_base.x64_O2_icc.newgt,2056,8551,572,9123
dealII_base.x64_O3_icc.newgt,2048,8553,570,9123
deepsjeng_r_base.icc_x64_O0-m64.newgt,1,131,1,132
deepsjeng_r_base.icc_x64_O1-m64.newgt,11,117,11,128
deepsjeng_r_base.icc_x64_O2-m64.newgt,180,122,27,149
deepsjeng_r_base.icc_x64_O3-m64.newgt,180,122,27,149
deepsjeng_r_base.icc_x86_O0-m32.newgt,1,134,1,135
deepsjeng_r_base.icc_x86_O1-m32.newgt,13,120,43,163
deepsjeng_r_base.icc_x86_O2-m32.newgt,81,126,37,163
deepsjeng_r_base.icc_x86_O3-m32.newgt,74,126,37,163
diffwrf_521_base.icc_x64_O0-m64.newgt,1445,6593,737,7330
diffwrf_521_base.icc_x64_O1-m64.newgt,1452,6454,759,7213
